Label,StopwordRemovedSentence
positive,careful secure others contemplation wonders marvels creation
positive,name engraved every important stage glorious journey leads hopeful traveler direct great mighty discovery devoted energy courage
positive,audacious traveler shall follow footsteps last doubtless find initials engraved hand upon centre earth
positive,audacious traveler sign name upon spot upon central granite stone wondrous work creator
positive,justice devotion courage first indicate road let cape seen upon shores sea discovered called time cape saknussemm
neutral,heard began roused pitch enthusiasm indicated words
positive,fierce excitement roused
neutral,forgot everything
neutral,dangers voyage perils return journey nothing
negative,another man done ages past could felt done determined nothing man accomplished appeared impossible
positive,forward forward cried burst genuine hearty enthusiasm
negative,already started direction somber gloomy gallery professor stopped man rash hasty man easily roused highest pitch enthusiasm checked asked patient show calm
positive,let us return good friend hans said bring raft place
positive,must say though yielded uncle request without dissatisfaction hastened along rocks wonderful coast
positive,know dear uncle said walked along singularly helped concurrence circumstances right moment
neutral,begin see harry
positive,said professor smile
negative,doubtless responded strangely enough even tempest means putting us right road
positive,blessings tempest
positive,brought us safely back spot fine weather would driven us forever
positive,supposing succeeded reaching southern distant shores extraordinary sea would become us
neutral,name saknussemm would never appeared us moment cast away upon inhospitable coast probably without outlet
positive,yes harry boy certainly something providential wandering mercy wind waves towards south come back exactly north better still fall upon great discovery cape saknussemm
positive,mean say surprising something far beyond comprehension
positive,coincidence unheard marvelous
positive,matter
positive,duty explain facts make best possible use
positive,doubtless boy allow said really delighted professor
positive,excuse sir see exactly shall take northern route shall pass northern regions europe sweden russia siberia knows instead burying burning plains deserts africa beneath mighty waves ocean stage journey care know
positive,let us advance heaven guide
positive,yes harry right quite right best
negative,let us abandon horizontal sea could never led anything satisfactory
neutral,shall descend descend everlastingly descend
positive,know dear boy reach interior earth five thousand miles travel
neutral,bah
positive,cried carried away burst enthusiasm distance scarcely worth speaking
neutral,thing make start
negative,wild mad incoherent speeches continued rejoined patient phlegmatic guide
positive,found prepared immediate departure
neutral,single parcel proper place
neutral,took posts raft sail hoisted hans received directions guided frail bark towards cape saknussemm definitely named
negative,wind unfavorable craft unable sail close wind
neutral,constructed go blast
neutral,continually reduced pushing forward means poles
positive,several occasions rocks ran far deep water compelled make long round
negative,last three long weary hours navigation say six clock evening found place could land
neutral,jumped shore first
positive,present state excitement enthusiasm always first
neutral,uncle icelander followed
positive,voyage port point sea means calmed
neutral,rather produced opposite effect
negative,even proposed burn vessel destroy raft order completely cut retreat
neutral,uncle sternly opposed wild project
neutral,began think particularly lukewarm unenthusiastic
positive,rate dear uncle said let us start without delay
positive,yes boy quite eager
neutral,first place let us examine mysterious gallery order find shall need prepare mend ladders
positive,uncle began see efficiency ruhmkorff coil would doubtless soon needed raft securely fastened rock left alone
neutral,moreover opening new gallery twenty paces distant spot
positive,little troop head advanced
negative,orifice almost circular presented diameter five feet somber tunnel cut living rock coated inside different material passed state fusion
neutral,lower part level water able penetrate interior without difficulty
negative,followed almost horizontal direction end dozen paces advance checked interposition enormous block granite rock
neutral,accursed stone
negative,cried furiously perceiving stopped seemed insurmountable obstacle
neutral,vain looked right vain looked left vain examined
neutral,existed passage sign tunnel
negative,experienced bitter painful disappointment
negative,enraged would admit reality obstacle
neutral,stooped knees looked mass stone
neutral,hole interstice
neutral,looked
negative,barrier granite
neutral,hans lamp examined sides tunnel every direction
neutral,vain
positive,necessary renounce hope passing
neutral,seated upon ground
negative,uncle walked angrily hopelessly
negative,evidently desperate
negative,cried moments thought arne saknussemm
neutral,right replied uncle never checked lump rock
negative,ten thousand times cried extreme vivacity
positive,huge lump rock consequence singular concussion process one magnetic phenomena often shaken terrestrial crust unexpected way closed passage
neutral,many many years passed away since return saknussemm fall huge block granite
positive,quite evident gallery formerly outlet pent lava interior earth eruptive matters circulated freely
positive,look recent fissures granite roof evidently formed pieces enormous stone placed hand giant worked make strong substantial arch
positive,one day unusually strong shock vast rock stands way doubtless key kind arch fell level soil barred progress
negative,right thinking unexpected obstacle saknussemm meet upset way unworthy following footsteps great discoverer incapable finding way centre earth
neutral,wild way addressed uncle
positive,zeal professor earnest longing success become part parcel
negative,wholly forgot past utterly despised future
negative,nothing existed upon surface spheroid bosom engulfed towns country hamburg koenigstrasse even poor gretchen time would believe utterly lost interior earth
negative,well cried uncle roused enthusiasm words let us go work pickaxes crowbars anything comes hand terrible walls
negative,far tough big destroyed pickax crowbar replied
neutral,
negative,said useless think overcoming difficulty means ordinary tools
neutral,
neutral,else gunpowder subterranean mine
negative,let us blow obstacle stands way
neutral,gunpowder
negative,yes get rid paltry obstacle
neutral,work hans work
negative,cried professor
positive,icelander went back raft soon returned huge crowbar began dig hole rock serve mine
neutral,means slight task
positive,necessary purpose make cavity large enough hold fifty pounds fulminating gun cotton expansive power four times great ordinary gunpowder
positive,roused almost miraculous state excitement
neutral,hans work actively assisted uncle prepare long wick made damp gunpowder mass finally enclosed bag linen
negative,bound go cried enthusiastically
neutral,bound go responded professor tapping back
positive,midnight work miners completely finished charge fulminating cotton thrust hollow match made considerable length ready
positive,spark sufficient ignite formidable engine blow rock atoms
neutral,rest tomorrow
negative,absolutely necessary resign fate consent wait explosion six weary hours
positive,next day twenty seventh august date celebrated wondrous subterranean journey
neutral,never think even shudder horror
negative,heart beats wildly memory awful day
neutral,time forward reason judgment human ingenuity nothing course events
positive,become plaything great phenomena earth
positive,six clock ready
negative,dreaded moment arriving seek opening interior earth means gunpowder
neutral,would consequences breaking crust earth
negative,begged might duty set fire mine
positive,looked upon honor
neutral,task performed could rejoin friends upon raft unloaded
positive,soon ready sail away distance avoid consequences explosion effects would certainly concentrated interior earth
positive,slow match calculated burn ten minutes less reached chamber great body powder confined
positive,therefore plenty time reach raft put safe distance
positive,prepared execute self allotted task must confessed without considerable emotion
negative,hearty repast uncle hunter guide embarked board raft remained alone upon desolate shore
negative,provided lantern enable set fire wick infernal machine
positive,go boy said uncle heaven
neutral,come back soon
neutral,shall impatience
neutral,easy matter replied fear delaying road
negative,said advanced toward opening somber gallery
neutral,heart beat wildly
neutral,opened lantern seized extremity wick
neutral,professor looking held chronometer hand
positive,ready
negative,cried
positive,quite ready
negative,well fire away
positive,hastened put light wick crackled sparkled hissing spitting like serpent running fast could returned shore
negative,get board lad hans shove cried uncle
neutral,vigorous application pole hans sent us flying water
neutral,raft quite twenty fathoms distant
negative,moment palpitating interest deep anxiety
neutral,uncle professor never took eyes chronometer
neutral,five minutes said low tone four three
neutral,pulse went hundred minute
negative,could hear heart beating
neutral,two one
neutral,mountains granite crumble beneath power man
neutral,happened
positive,terrific roar explosion think heard
positive,form rocks completely changed eyes seemed drawn aside like curtain
neutral,saw fathomless bottomless abyss yawned beneath turgid waves
positive,sea seemed suddenly gone mad became one great mountainous mass upon top raft rose perpendicularly
neutral,thrown
neutral,less second light gave place profound obscurity
positive,felt solid support give way feet raft
positive,thought going bodily tremendous well
neutral,tried speak question uncle
neutral,nothing could heard roaring mighty waves
neutral,clung together utter silence
negative,despite awful darkness despite noise surprise emotion thoroughly understood happened
neutral,beyond rock blown existed mighty abyss
positive,explosion caused kind earthquake soil broken fissures rents
neutral,gulf thus suddenly thrown open swallow inland sea transformed mighty torrent dragging us
neutral,one idea filled mind
negative,utterly completely lost
neutral,one hour two hours cannot say passed manner
neutral,sat close together elbow touching elbow knee touching knee
neutral,held one another hands thrown raft
negative,subjected violent shocks whenever sole dependence frail wooden raft struck rocky sides channel
positive,fortunately us concussions became less less frequent made fancy gallery getting wider wider
negative,could doubt chanced upon road followed saknussemm instead going proper manner imprudence drawn whole sea us
negative,ideas presented mind vague obscure manner
neutral,felt rather reasoned
positive,put ideas together confusedly spinning along like man going waterfall
positive,judge air whipped face must rushing perfectly lightning rate
negative,attempt circumstances light torch simply impossible last remains electric machine ruhmkorff coil destroyed fearful explosion
positive,therefore much confused see last bright light shining close
positive,calm countenance guide seemed gleam upon
positive,clever patient hunter succeeded lighting lantern though keen thorough draft flame flickered vacillated nearly put served partially dissipate awful obscurity
neutral,gallery entered wide
neutral,therefore quite right part conjecture
positive,insufficient light allow us see walls time
positive,slope waters carrying us away far greater rapid river america
negative,whole surface stream seemed composed liquid arrows darted forward extreme violence power
neutral,give idea impression made upon
positive,raft times caught certain whirlpools rushed forward yet turned time
negative,upset shall never able understand
positive,approached sides gallery took care throw upon light lantern able judge rapidity motion looking projecting masses rock soon seen invisible
positive,rapid progress points rock considerable distance one appeared like portions transverse lines enclosed us kind net like line telegraphic wires
neutral,believe going rate less hundred miles hour
negative,uncle looked one another wild haggard eyes clung convulsively stump mast moment catastrophe took place snapped short
neutral,turned backs much possible wind order stifled rapidity motion nothing human could face live
neutral,still long monotonous hours went
neutral,situation change least though discovery suddenly made seemed complicate much
neutral,slightly recovered equilibrium proceeded examine cargo
positive,made unsatisfactory discovery greater part utterly disappeared
neutral,became alarmed determined discover resources
neutral,heart beat idea absolutely necessary know depend
neutral,view took lantern looked around
neutral,former collection nautical philosophical instruments remained chronometer compass
neutral,ladders ropes reduced small piece rope fastened stump mast
negative,pickax crowbar hammer far worse food enough one day
negative,discovery prelude certain horrible death
neutral,seated gloomily raft clasping stump mast mechanically thought read sufferings starvation
neutral,remembered everything history taught subject shuddered remembrance agonies endured
negative,maddened prospects enduring miseries starvation persuaded must mistaken
neutral,examined cracks raft poked joints beams examined every possible hole corner
neutral,result simply nothing
neutral,stock provisions consisted nothing piece dry meat soaked half moldy biscuits
negative,gazed around scared frightened
negative,could understand awful truth
negative,yet consequence regard new danger
negative,supposing provisions months even years could ever get awful abyss hurled irresistible torrent let loose
negative,trouble sufferings tortures endured hunger death stared us face many swifter perhaps even horrid forms
negative,doubtful circumstances placed time die inanition
neutral,human frame singularly constituted
negative,know singular hallucination mind forgot real serious immediate danger exposed think menaces future appeared us naked terror
positive,besides suggested hope perhaps might finally escape fury raging torrent revisit glimpses moon surface beautiful mother earth
neutral,done
neutral,remotest idea
neutral,come
positive,matter
neutral,one chance thousand always chance death hunger gave us even faintest glimpse hope
positive,left imagination nothing blank horror without faintest chance escape
positive,greatest mind reveal uncle explain extraordinary wretched position reduced order two might make calculation exact space time remained us live
neutral,appeared thing done
positive,courage hold tongue gnaw entrails like spartan boy
negative,wished leave coolness
neutral,moment light lantern slowly fell last went
neutral,wick wholly burnt end
neutral,obscurity became absolute
negative,longer possible see impenetrable darkness
neutral,one torch left impossible keep alight
positive,like child shut eyes might see darkness
positive,great lapse time rapidity journey increased
neutral,could feel rush air upon face
neutral,slope waters excessive
negative,began feel longer going slope falling
negative,felt one dream going bodily falling falling falling
neutral,felt hands uncle hans vigorously clasping arms
negative,suddenly lapse time scarcely appreciable felt something like shock
negative,raft struck hard body suddenly checked course
neutral,waterspout liquid column water fell upon us
neutral,felt suffocating
negative,drowned
neutral,still sudden inundation last
neutral,seconds felt able breathe
neutral,uncle hans pressed arms raft carried us three away
negative,difficult determine real time suppose calculation must ten night
positive,lay stupor half dream saw visions astounding character
neutral,monsters deep side side mighty elephantine shepherd
negative,gigantic fish animals seemed form strange conjunctions
neutral,raft took sudden turn whirled round entered another tunnel time illumined singular manner
positive,roof formed porous stalactite moonlit vapor appeared pass casting brilliant light upon gaunt haggard figures
positive,light increased advanced roof ascended last kind water cavern lofty dome disappeared luminous cloud
negative,rugged cavern small extent appeared offer halting place weary bodies
positive,uncle guide moved men dream
negative,afraid waken knowing danger sudden start
neutral,seated beside watch
positive,became aware something moving distance fascinated eyes
neutral,floating apparently upon surface water advancing means first appeared paddles
neutral,looked glaring eyes
neutral,one glance told something monstrous
neutral,
positive,great shark crocodile early writers geology
positive,size ordinary whale hideous jaws two gigantic eyes advanced
negative,eyes fixed terrible sternness
negative,indefinite warning told marked
negative,attempted rise escape matter knees shook limbs trembled violently almost lost senses
positive,still mighty monster advanced
positive,uncle guide made effort save
positive,strange noise like none ever heard beast came
neutral,jaws least seven feet apart distended mouth looked large enough swallowed boatful men
neutral,ten feet distant discovered much body resembled crocodile mouth wholly shark
neutral,twofold nature became apparent
neutral,snatch us mouthful necessary turn back motion necessarily caused legs kick helplessly air
negative,actually laughed even jaws death
negative,next minute wild cry darted away interior cave leaving unhappy comrades fate
negative,cavern deep dreary
neutral,hundred yards paused looked around
neutral,whole floor composed sand malachite strewn bones freshly gnawed bones reptiles fish mixture mammalia
negative,soul grew sick body shuddered horror
negative,truly according old proverb fallen frying pan fire
neutral,beast larger ferocious even shark crocodile inhabited den
neutral,could
negative,mouth cave guarded one ferocious monster interior inhabited something hideous contemplate
neutral,flight impossible
negative,one resource remained find small hiding place fearful denizens cavern could penetrate
positive,gazed wildly around last discovered fissure rock rushed hope recovering scattered senses
positive,crouching waited shivering ague fit
positive,man brave presence earthquake bursting boiler exploding torpedo
negative,could expected feel much courage presence fearful fate appeared await
neutral,hour passed
negative,heard time strange rumbling outside cave
negative,fate unhappy companions
neutral,impossible pause inquire
neutral,wretched existence could think
negative,suddenly groaning fifty bears fight fell upon ears hisses spitting moaning hideous hear saw never ages pass head shall forget horrible apparition
neutral,ape gigans
positive,fourteen feet high covered coarse hair blackish brown hair arms shoulder elbow joints pointing downwards wrist elbow pointed upwards advanced
neutral,arms long body legs prodigious
positive,thick long sharply pointed teeth like mammoth saw
negative,struck breast came smelling sniffing reminding stories read early childhood giants ate flesh men little boys
negative,suddenly stopped
negative,heart beat wildly conscious somehow fearful monster smelled peering hideous eyes try discover whereabouts
positive,reading rule blessing occasion seemed momentarily prove curse told real truth
neutral,ape gigans antediluvian gorilla
positive,yes
negative,awful monster confined good fortune interior earth progenitor hideous monster africa
positive,glared wildly seeking something doubtless
negative,gave lost
positive,hope safety escape seemed remain
negative,moment eyes appeared close death came strange noise entrance cave turning gorilla evidently recognized enemy worthy prodigious size strength
positive,huge shark crocodile perhaps disposed friends coming search prey
positive,gorilla placed defensive clutching bone seven eight feet length perfect club aimed deadly blow hideous beast reared upwards fell weight upon adversary
negative,terrible combat details impossible give ensued
negative,struggle awful ferocious however wait witness result
positive,regarding object contention determined remove presence victor
positive,slid hiding place reached ground gliding wall strove gain open mouth cavern
negative,taken many steps fearful clamor ceased followed mumbling groaning appeared indicative victory
positive,looked back saw huge ape gory blood coming glaring eyes dilated nostrils gave forth two columns heated vapor
negative,could feel hot fetid breath neck horrid jump awoke nightmare sleep
positive,yes dream
neutral,still raft uncle guide
negative,relief instantaneous influence hideous nightmare senses become numbed
neutral,however feelings tranquilized
neutral,first perceptions returned full force hearing
neutral,listened acute attentive ears
negative,still death
neutral,comprehended silence
positive,roaring waters filled gallery awful reverberations succeeded perfect peace
negative,little time uncle spoke low scarcely audible tone harry boy
neutral,faint rejoinder
neutral,well see happened
neutral,going upwards
positive,dear uncle mean
neutral,half delirious reply
positive,yes tell ascending rapidly
neutral,downward journey quite checked
positive,held hand little difficulty succeeded touching wall
neutral,hand instant covered blood
negative,skin torn flesh
neutral,ascending extraordinary rapidity
neutral,torch torch
negative,cried professor wildly must lighted
positive,hans guide many vain efforts last succeeded lighting flame nothing prevent burning shed tolerably clear light
neutral,enabled form approximate idea truth
neutral,thought said uncle moment two silent attention
neutral,narrow well four fathoms square
positive,waters great inland sea reached bottom gulf forcing mighty shaft
positive,natural consequence cast upon summit waters
negative,see lugubrious reply shaft end fall likely exposed
negative,ignorant
negative,know prepared worst
negative,going fearfully rapid rate
neutral,far judge ascending rate two fathoms second hundred twenty fathoms minute rather three half leagues hour
positive,rate fate soon matter certainty
negative,doubt reply
positive,great concern however know whether shaft issue
positive,may end granite roof case shall suffocated compressed air dashed atoms top
neutral,fancy already air beginning close condensed
neutral,difficulty breathing
positive,might fancy might effect rapid motion certainly felt great oppression chest
negative,henry said professor believe situation certain extent desperate
positive,remain however many chances ultimate safety mind revolving heavy agitated sleep
positive,come logical conclusion whereas may moment perish moment may saved
positive,need therefore prepare whatever may turn great chapter accidents
neutral,would us
negative,cried
negative,utterly helpless
neutral,
positive,life hope
neutral,events one thing eat thus obtain strength face victory death
neutral,spoke looked uncle haggard glance
negative,put fatal communication long possible
negative,forced upon must tell truth
neutral,still hesitated
neutral,eat said deprecating tone hurry
positive,yes
negative,feel like starving prisoner said rubbing yellow shivering hands together
positive,turning round guide spoke hearty cheering words judged tone danish
negative,hans shook head terribly significant manner
negative,tried look unconcerned
neutral,
negative,cried professor mean say provisions lost
positive,yes lowly spoken reply held something hand morsel dried meat remains us three
positive,uncle gazed could fully appreciate meaning words
neutral,blow seemed stun severity
neutral,allowed reflect moments
neutral,well said short pause think
negative,chance escaping horrible subterranean dangers
positive,doomed perish great hollows centre earth
neutral,pertinent questions brought answer
neutral,uncle either heard appeared
neutral,way whole hour passed
neutral,neither us cared speak
negative,began feel fearful devouring hunger
negative,companions doubtless felt horrible tortures neither would touch wretched morsel meat remained
positive,lay last remnant great preparations mad senseless journey
neutral,looked back wonderment folly
negative,fully aware despite enthusiasm ever hated scroll saknussemm uncle never started perilous voyage
neutral,memories happy past previsions horrible future filled brain
negative,hunger prolonged temporary madness
positive,brain work without required food fantastic notions fill mind
positive,hitherto never known hunger really meant
neutral,likely understand
negative,yet three months could tell terrible story starvation thought
neutral,boy used make frequent excursions neighborhood professor house
neutral,uncle always acted system believed addition day rest worship day recreation
positive,consequence always free liked wednesday
positive,notion combine useful agreeable favorite pastime birds nesting
positive,one best collections eggs town
neutral,classified glass cases
positive,certain wood rising early morn taking cheap train could reach eleven morning
neutral,would botanize geologize
positive,uncle always glad specimens herbarium stones examine
neutral,filled wallet proceeded search nests
negative,two hours hard work one day sat stream eat humble copious lunch
neutral,remembrance spiced sausage wheaten loaf beer made mouth water
positive,would given every prospect worldly wealth meal
neutral,story
positive,seated thus leisure looked ruins old castle great distance
negative,remains historical dwelling ivy clad falling pieces
neutral,looking saw two eagles circling summit lofty tower
positive,soon became satisfied nest
neutral,collection lacked eggs native eagle large owl
neutral,mind made
positive,would reach summit tower perish attempt
negative,went nearer surveyed ruins
negative,old staircase years fallen
positive,outer walls however intact
positive,chance way unless looked ivy solely support
negative,soon found futile
positive,remained chimney still went top served carry smoke every story tower
positive,determined venture
positive,narrow rough therefore easily climbed
neutral,took coat crept chimney
neutral,looking saw small light opening proclaiming summit chimney
neutral,went time using hands knees fashion chimney sweep
positive,slow work continual projections task comparatively easy
positive,way reached halfway
neutral,chimney became narrower
negative,atmosphere close last end matter stuck fast
neutral,could ascend higher
negative,could doubt remained resource descend give glorious prey despair
neutral,yielded fate endeavored descend
neutral,could move
negative,unseen mysterious obstacle intervened stopped
neutral,instant full horror situation seized
negative,unable move either way doomed terrible horrible death starvation
positive,boy mind however extraordinary amount elasticity hope began think sorts plans escape gloomy fate
positive,first place required food present excellent meal therefore allowed time reflection
positive,first thought try move mortar hand
positive,possessed knife something might done useful instrument left coat pocket
positive,soon found efforts kind vain useless could hope wriggle downwards
negative,though jerked struggled strove turn vain
neutral,could move inch one way
neutral,time flew rapidly
neutral,early rising probably contributed fact felt sleepy gradually gave way sensation drowsiness
negative,slept awoke darkness ravenously hungry
neutral,night come still could move
positive,tight bound succeed changing position inch
neutral,groaned aloud
negative,never since days happy childhood hardship go meal meal without eating really experienced hunger
negative,sensation novel painful
negative,began lose head scream cry agony
negative,something appeared startled noise
negative,harmless lizard appeared loathsome reptile
negative,made old ruins resound cries finally exhausted fainted
positive,long lay kind trance sleep cannot say recovered consciousness day
negative,ill felt hunger still gnawed would hard say
negative,weak scream far weak struggle
negative,suddenly startled roar
neutral,henry
neutral,said voice uncle boy
negative,could faintly respond also made desperate effort turn
neutral,mortar fell
neutral,owed discovered
negative,search took place easily seen mortar small pieces stone recently fallen
negative,hence uncle cry
neutral,calm cried pull whole ruin shall saved
positive,delicious words little hope
neutral,soon however quarter hour later heard voice one upper fireplaces
neutral,
neutral,reply
neutral,instant basket lowered milk biscuit egg
negative,uncle fearful ready supply food
negative,drank milk first thirst nearly deadened hunger
negative,much refreshed ate bread hard egg
neutral,work wall
neutral,could hear pickax
negative,wishing escape danger terrible weapon made desperate struggle belt surrounded waist hitched stone gave way
positive,free escaped falling rapid motion hands knees
negative,ten minutes uncle arms two days nights horrible prison
negative,occasional delirium prevented counting time
negative,weeks recovering awful starvation adventure yet hideous sufferings endured
positive,dreaming time thinking matters looked around
negative,still ascending fearful rapidity
neutral,every air appeared check respiration aeronauts ascension balloon rapid
neutral,feel degree cold proportion elevation attain atmosphere experienced quite contrary effect
negative,heat began increase threatening exceptional manner
positive,cannot tell exactly mean think must reached one hundred twenty two degrees fahrenheit
neutral,meaning extraordinary change temperature
neutral,far hitherto gone facts proved theories davy lidenbrock correct
positive,peculiar conditions refractory rocks electricity magnetism modified general laws nature created us moderate temperature theory central fire remained eyes explainable one
positive,going reach position phenomena carried rigor heat would reduce rocks state fusion
negative,unnatural fear conceal fact uncle
negative,way might cold heartless could help
negative,drowned smashed pancakes die starvation satisfaction knowing must burned alive
negative,uncle presence brusque attack simply shrugged shoulders resumed reflections whatever might
positive,hour passed away except slight increase temperature incident modified situation
negative,uncle last accord broke silence
positive,well henry boy said cheerful way must make minds
neutral,make minds
positive,asked considerable surprise
neutral,well something
neutral,must whatever risk recruit physical strength
negative,make fatal mistake husbanding little remnant food may probably prolong wretched existence hours shall remain weak end
positive,yes growled end
neutral,however keep us long waiting
positive,well let chance safety present allow moment action necessary shall find means action allow reduced physical weakness inanition
positive,piece meat devoured uncle hope remain unto us
neutral,none dear henry none
positive,good devour eyes
positive,appear reason like one without decision like without energy
negative,cried exasperated degree scarcely explained mean tell lost hope
positive,certainly replied professor consummate coolness
neutral,mean tell uncle shall get monstrous subterranean shaft
positive,life hope
positive,beg assert henry long man heart beats long man flesh quivers allow gifted thought allow despair
neutral,nerve
positive,man placed position like occupied must brave speak like
negative,well cried mean
neutral,eat remains food hands let us swallow last crumb
positive,bel heaven willing last repast
negative,well never mind instead exhausted skeletons shall men
negative,true muttered despairing tone let us take fill
negative,must replied uncle deep sigh call
negative,uncle took piece meat remained crusts biscuit escaped wreck
neutral,divided whole three parts
neutral,one pound food last long remained interior earth
neutral,acted accordance private character
neutral,uncle professor ate greedily evidently without appetite eating simply mechanical motion
neutral,put food inside lips hungry chewed morsel without pleasure without satisfaction
neutral,hans guide eider hunting swallowed every mouthful though usual affair
positive,looked like man equally prepared enjoy superfluity total want
positive,hans probability used starvation hardy icelandic nature prepared many sufferings
positive,long received three rix dollars every saturday night prepared anything
positive,fact hans never troubled much except money
positive,undertaken serve certain man much per week matter evils befell employer never found fault grumbled long wages duly paid
neutral,suddenly uncle roused
positive,seen smile face guide
neutral,could make
positive,matter
neutral,said uncle
positive,schiedam said guide producing bottle precious fluid
neutral,drank
negative,uncle dying day hence derived strength exist last bitter moment
positive,precious bottle hollands reality half full circumstances nectar
neutral,took minutes uncle form decided opinion subject
positive,worthy professor swallowed half pint seem able drink
neutral,fortrafflig said hans swallowing nearly left
positive,excellent good said uncle much gusto left steps club hamburg
positive,begun feel one gleam hope
neutral,thought future vanished
neutral,consumed last ounce food five clock morning
negative,man constitution peculiar health purely negative matter
negative,sooner rage hunger appeased becomes difficult comprehend meaning starvation
negative,suffer really understand
positive,anyone endured privation notion matter simply absurd
negative,us long fast mouthfuls bread meat little moldy biscuit salt beef triumphed previous gloomy saturnine thoughts
neutral,nevertheless repast gave way reflections
neutral,wondered hans man extreme north yet gifted fatalistic resignation oriental character
positive,utmost stretch imagination would allow realize truth
neutral,individual self thoughts ceased anything memories past connected upper world never left
positive,saw beautiful house konigstrasse poor gretchen good martha passed mind like visions past
positive,every time lugubrious groanings distinguished hollows around fell upon ears fancied heard distant murmur great cities head
neutral,uncle always thinking science examined nature shaft means torch
neutral,closely examined different strata one order recognize situation geological theory
neutral,calculation rather estimation could means anything approximate
positive,learned man philosopher nothing philosopher keeps ideas calm collected certainly professor possessed quality perfection
neutral,heard sat silence murmuring words geological science
negative,understood object meaning could interest despite preoccupation terrible hour
neutral,eruptive granite said still primitive epoch
neutral,going going still going
neutral,knows
neutral,knows
neutral,still hoped
neutral,felt along vertical sides shaft hand minutes later would go following style gneiss
neutral,mica schist siliceous mineral
positive,good epoch transition events close could professor mean
negative,could conceivable means measure thickness crust earth suspended heads
neutral,possess possible means making approximation calculation
neutral,
neutral,manometer wanting summary estimation could take place
positive,yet progressed temperature increased extraordinary degree began feel bathed hot burning atmosphere
neutral,never felt anything like
neutral,could compare hot vapor iron foundry liquid iron state ebullition runs
neutral,degrees one hans uncle taken coats waistcoats
neutral,unbearable
negative,even slightest garment uncomfortable cause extreme suffering
negative,ascending living fire
positive,cried horror astonishment heat became greater
neutral,said uncle simply impossible quite impossible
positive,yet said touching side shaft naked hand wall literally burning
positive,moment feeling sides extraordinary wall red hot plunged hands water cool
negative,drew back cry despair
neutral,water boiling
negative,cried
negative,uncle professor made reply gesture rage despair
positive,something like truth probably struck imagination
positive,could take share either going speculations
neutral,invincible dread taken possession brain soul
negative,could look forward immediate catastrophe catastrophe even vivid imagination could thought
negative,idea first vague uncertain gradually changed certainty
negative,tremulously rejected first forced upon degrees extreme obstinacy
negative,terrible idea scarcely dared whisper
positive,yet certain involuntary observations determined convictions
negative,doubtful glare torch could make singular changes granitic strata strange terrible phenomenon produced electricity played part
negative,boiling water terrible excessive heat
positive,determined last resource examine compass
negative,compass gone mad
negative,yes wholly stark staring mad
neutral,needle jumped pole pole sudden surprising jerks ran round said boxed compass ran suddenly back vertigo
positive,aware according best acknowledged theories received notion mineral crust globe never never state complete repose
negative,perpetually undergoing modifications caused decomposition internal matter agitation consequent flowing extensive liquid currents excessive action magnetism tends shake incessantly time even multitudinous beings surface suspect seething process going
negative,still phenomenon would alarmed alone would aroused mind terrible awful idea
positive,facts could allow self delusion last
negative,terrible detonations like heaven artillery began multiply fearful intensity
negative,could compare noise made hundreds heavily laden chariots madly driven stone pavement
neutral,continuous roll heavy thunder
negative,mad compass shaken wild electric phenomena confirmed rapidly formed opinion
negative,mineral crust burst heavy granite masses rejoin fissure close void filled poor atoms crushed awful embrace
neutral,uncle uncle
negative,cried wholly irretrievably lost
negative,young friend new cause terror alarm
neutral,said calmest manner
negative,fear
negative,fear
negative,cried fierce angry tones
neutral,see walls shaft motion
positive,see solid granite masses cracking
negative,feel terrible torrid heat
negative,observe awful boiling water float
negative,remark mad needle
negative,every sign portent awful earthquake
neutral,uncle coolly shook head
positive,earthquake replied calm provoking tone
positive,yes
negative,nephew tell utterly mistaken continued
neutral,recognize well known symtons earthquake
neutral,means
positive,expecting something far important
negative,brain strained beyond endurance mean
negative,cried
neutral,eruption harry
neutral,eruption gasped
positive,volcanic shaft crater full action vigor
positive,every reason think said professor smiling tone beg tell fortunate thing could happen us
positive,fortunate thing
negative,uncle really truly gone mad
negative,mean awful words mean terrible calm solemn smile
neutral,
negative,cried height exasperation way eruption
negative,fatality cast us well burning boiling lava rocks fire boiling water word filled every kind eruptive matter
positive,expelled thrown vomited spit interior earth common huge blocks granite showers cinders scoriae wild whirlwind flame say fortunate thing could happen us
positive,yes replied professor looking calmly spectacles chance remains us ever escaping interior earth light day
negative,quite impossible put paper thousand strange wild thoughts followed extraordinary announcement
positive,uncle right quite right never appeared audacious convinced looked calmly face spoke chances eruption cast upon mother earth gaping crater volcano
neutral,nevertheless speaking still ascending passed whole night going speak scientifically ascensional motion
negative,fearful noise redoubled ready suffocate
negative,seriously believed last hour approaching yet strange imagination thought childish hypothesis
neutral,circumstances choose thoughts
neutral,overcome
positive,quite evident cast upwards eruptive matter raft mass boiling water heavier mass lava aggregate rocks reaching summit water would dispersed every direction
negative,inside chimney volcano could longer shadow doubt
negative,nothing terrible could conceived
negative,occasion instead sneffels old extinct volcano inside mountain fire full activity
neutral,several times found asking mountain part world shot
neutral,consequence
negative,northern regions could reasonable doubt
negative,went decidedly mad compass never made slightest mistake
neutral,cape saknussemm swept away northward many hundreds leagues
negative,question iceland belched forth earth crater mount hecla reappear one seven fire funnels island
